Review_ID,Review_Timestamp,Product_Rating,Review_Text,Review_Likes
R5075464,22/07/2023 21:42,0,Great product. Review 31.,483
R5075465,23/07/2023 17:36,3,Not durable. Review 32.,191
R5075466,23/07/2023 19:51,2,Disappointed. Review 33.,83
R5075467,24/07/2023 11:30,5,Disappointed. Review 34.,315
R5075468,27/07/2023 21:17,4,Could be better. Review 35.,835
R5075469,06/08/2023 19:31,3,Excellent value. Review 36.,802
R5075470,09/08/2023 01:30,0,Could be better. Review 37.,972
R5075471,10/08/2023 10:00,0,Would buy again. Review 38.,322
R5075472,11/08/2023 01:07,5,Average quality. Review 39.,308
R5075473,11/08/2023 14:02,3,Excellent value. Review 40.,175
R5075474,11/08/2023 21:36,2,Could be better. Review 41.,519
R5075475,13/08/2023 20:21,1,Not what I expected. Review 42.,189
R5075476,21/08/2023 00:37,1,Would buy again. Review 43.,834
R5075477,21/08/2023 09:27,5,Beyond expectations. Review 44.,156
R5075478,23/08/2023 05:49,3,Could be better. Review 45.,982
R5075479,23/08/2023 16:25,3,Beyond expectations. Review 46.,313
R5075480,24/08/2023 08:08,5,Average quality. Review 47.,660
R5075481,24/08/2023 17:10,1,Great product. Review 48.,483
R5075482,27/08/2023 10:14,4,Could be better. Review 49.,223
R5075483,31/08/2023 15:59,0,Would buy again. Review 50.,929
R5075484,06/09/2023 09:16,4,Could be better. Review 51.,784
R5075485,07/09/2023 09:59,5,Disappointed. Review 52.,114
R5075486,20/09/2023 03:53,5,Average quality. Review 53.,554
R5075487,26/09/2023 16:48,0,Beyond expectations. Review 54.,669
R5075488,29/09/2023 10:04,5,Average quality. Review 55.,367
R5075489,02/10/2023 07:15,4,Highly recommended. Review 56.,408
R5075490,05/10/2023 12:03,0,Highly recommended. Review 57.,494
R5075491,14/10/2023 06:38,3,Excellent value. Review 58.,548
R5075492,14/10/2023 10:51,0,Beyond expectations. Review 59.,829
R5075493,20/10/2023 13:37,5,Highly recommended. Review 60.,827
R5075494,24/10/2023 16:12,1,Would buy again. Review 61.,971
R5075495,25/10/2023 11:53,0,Disappointed. Review 62.,41
R5075496,01/11/2023 16:25,4,Beyond expectations. Review 63.,854
R5075497,02/11/2023 08:19,1,Could be better. Review 64.,401
R5075498,02/11/2023 17:11,3,Could be better. Review 65.,774
R5075499,05/11/2023 16:46,1,Not what I expected. Review 66.,866
R5075500,15/11/2023 12:41,0,Disappointed. Review 67.,658
R5075501,16/11/2023 09:05,4,Highly recommended. Review 68.,908
R5075502,24/11/2023 00:20,1,Great product. Review 69.,762
R5075503,01/12/2023 18:39,5,Could be better. Review 70.,116
R5075504,01/12/2023 20:12,5,Could be better. Review 71.,644
R5075505,07/12/2023 15:27,5,Great product. Review 72.,626
R5075506,12/12/2023 02:34,0,Great product. Review 73.,682
R5075507,22/12/2023 02:38,2,Not what I expected. Review 74.,599
R5075508,22/12/2023 10:10,5,Excellent value. Review 75.,45
R5075509,23/12/2023 16:38,5,Not what I expected. Review 76.,850
R5075510,24/12/2023 14:26,1,Not what I expected. Review 77.,967
R5075511,01/01/2024 09:51,0,Not what I expected. Review 78.,188
R5075512,02/01/2024 07:32,3,Beyond expectations. Review 79.,77
R5075513,02/01/2024 22:33,1,Not durable. Review 80.,735
R5075514,05/01/2024 10:28,5,Would buy again. Review 81.,12
R5075515,06/01/2024 10:54,5,Not durable. Review 82.,105
R5075516,11/01/2024 05:08,3,Average quality. Review 83.,149
R5075517,16/01/2024 17:55,2,Disappointed. Review 84.,26
R5075518,17/01/2024 06:02,3,Highly recommended. Review 85.,601
R5075519,20/01/2024 04:39,0,Highly recommended. Review 86.,860
R5075520,26/01/2024 08:07,2,Disappointed. Review 87.,728
R5075521,27/01/2024 11:11,3,Not durable. Review 88.,417
R5075522,28/01/2024 18:37,5,Excellent value. Review 89.,207
R5075523,07/02/2024 00:48,2,Disappointed. Review 90.,943
R5075524,08/02/2024 23:33,5,Excellent value. Review 91.,935
R5075525,13/02/2024 08:33,2,Not durable. Review 92.,87
R5075526,16/02/2024 07:09,3,Not durable. Review 93.,616
R5075527,17/02/2024 13:47,1,Could be better. Review 94.,640
R5075528,17/02/2024 15:58,4,Excellent value. Review 95.,105
R5075529,21/02/2024 19:54,2,Not durable. Review 96.,551
R5075530,22/02/2024 08:41,1,Beyond expectations. Review 97.,601
R5075531,26/02/2024 23:29,0,Not durable. Review 98.,774
R5075532,28/02/2024 19:25,3,Would buy again. Review 99.,734
R5075533,08/03/2024 12:17,1,Highly recommended. Review 100.,800
